area_type,bath,balcony,price,bhk,has_society,society_freq,availability_group,location_grouped,location_target_enc,total_sqft
Super built-up  Area,2.0,1.0,39.07,2.0,1,5.0,Q4 Possession,electronic city phase ii,48.68390625,1056.0
Plot  Area,5.0,3.0,120.0,4.0,1,12.0,Ready To Move,Other,114.704375,2600.0
Built-up  Area,2.0,3.0,62.0,3.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,1440.0
Super built-up  Area,3.0,1.0,95.0,3.0,1,22.0,Ready To Move,lingadheeranahalli,115.34826086956522,1521.0
Super built-up  Area,2.0,1.0,51.0,2.0,0,0.0,Ready To Move,kothanur,95.790625,1200.0
Super built-up  Area,2.0,1.0,38.0,2.0,1,1.0,Ready To Move,whitefield,129.65500954198475,1170.0
Super built-up  Area,4.0,2.0,204.0,4.0,1,15.0,Q2 Possession,old airport road,181.74655172413793,2732.0
Super built-up  Area,4.0,2.0,600.0,4.0,1,21.0,Ready To Move,rajaji nagar,327.69308411214956,3300.0
Super built-up  Area,3.0,1.0,63.25,3.0,0,0.0,Ready To Move,marathahalli,102.42970414201183,1310.0
Plot  Area,6.0,2.0,370.0,6.0,0,0.0,Ready To Move,Other,240.0,1020.0
Super built-up  Area,2.0,2.0,70.0,3.0,0,0.0,Q1 Possession,whitefield,129.65500954198475,1800.0
Plot  Area,5.0,3.0,295.0,4.0,1,7.0,Ready To Move,whitefield,129.65500954198475,2785.0
Super built-up  Area,2.0,1.0,38.0,2.0,1,2.0,Ready To Move,7th phase jp nagar,104.03466666666667,1000.0
Built-up  Area,2.0,2.0,40.0,2.0,0,0.0,Ready To Move,gottigere,61.017291666666665,1100.0
Plot  Area,3.0,2.0,148.0,3.0,1,1.0,Ready To Move,sarjapur,94.40676829268293,2250.0
Super built-up  Area,2.0,2.0,73.5,2.0,1,8.0,Ready To Move,mysore road,68.2984,1175.0
Super built-up  Area,3.0,2.0,48.0,3.0,1,41.0,Ready To Move,bisuvanahalli,41.332857142857144,1180.0
Super built-up  Area,3.0,3.0,60.0,3.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1540.0
Super built-up  Area,4.0,2.0,290.0,3.0,1,4.0,Ready To Move,Other,662.8571428571429,2770.0
